cnes,ano,nome_fantasia,municipio,porte_hospital,faixa_complex,tmp
2077310,2021,Hospital Dia Irmao Altino Saude Mental,Guaratingueta,HPP,,40.958333333333336
2077310,2020,Hospital Dia Irmao Altino Saude Mental,Guaratingueta,HPP,,40.529411764705884
2077310,2018,,Guaratingueta,HPP,,38.370588235294115
2077310,2016,,Guaratingueta,HPP,,38.06481481481482
2077310,2015,,Guaratingueta,HPP,,37.83568075117371
2077310,2017,,Guaratingueta,HPP,,37.73148148148148
2077310,2019,,Guaratingueta,HPP,,37.59701492537314
2079208,2020,Lar Espirita Maria De Nazare Moji Mirim,Mogi Mirim,Médio Porte,2.0,30.5
2093405,2024,,Nhandeara,Médio Porte,2.0,30.5
5033543,2016,,Barretos,HPP,2.0,30.458947368421054
