cnes,ano,municipio,ocupacao_uti,diarias_uti,uti_total,total_leitos
2022648,2021,Campinas,875.2,6389,16,105
2022648,2020,Campinas,561.6,2050,17,126
2080583,2021,Sao Paulo,405.0,17737,34,195
2078139,2021,Presidente Venceslau,395.3,1443,10,106
7473702,2021,Mogi Das Cruzes,391.5,14290,10,53
2077450,2021,Sao Paulo,341.5,9973,20,92
2688433,2021,Braganca Paulista,341.4,4984,14,141
2025477,2021,Jaboticabal,290.6,3182,8,83
2028840,2021,Sao Paulo,264.9,16436,17,160
2097877,2021,Valinhos,263.9,3853,26,104
2089335,2021,Catanduva,262.5,9583,12,186
2082845,2021,Olimpia,260.8,4759,7,81
2079410,2021,Guarulhos,257.5,9400,10,145
2087103,2021,Limeira,257.2,7509,9,78
2079232,2021,Santa Barbara D'Oeste,243.5,7110,12,98
