"categoria","ano","te_bcc","te_bcc_vc","te_ccr","ef_escala"
"Direta",2015,0.788102315065853,0.735672996571168,0.643830196032587,0.840883194358684
"Filantrópico",2015,0.69639657202904,0.645353966146879,0.591172859408842,0.937485921209414
"OSS",2015,0.816893523528843,0.771206037243115,0.665612205424629,0.850456087423758
"Privado",2015,0.277023791971493,0.233259832935736,0.207680042739732,0.743825506115431
"Público Municipal",2015,0.7252288944043,0.691694612323921,0.635691578489594,0.935779769644897
"Direta",2016,0.70746113886839,0.657262672749775,0.609495866479159,0.858601890016902
"Filantrópico",2016,0.655191639764141,0.6227355293915,0.575764155654617,0.929539581355563
"OSS",2016,0.80052315531835,0.741927529397619,0.649088147434686,0.848983385132538
"Privado",2016,0.191340135934165,0.169911335420545,0.182544279331352,0.828472819669406
"Público Municipal",2016,0.652234111087925,0.623148082788714,0.582324423786422,0.912166182636094
"Direta",2017,0.774043419611843,0.690073509048965,0.636592885974514,0.870359857572482
"Filantrópico",2017,0.662663079768626,0.615929360995012,0.574583856213671,0.933636628005903
"OSS",2017,0.814410955259805,0.755251336581965,0.684187920151592,0.884991636379601
"Privado",2017,0.220652618399301,0.201214014130648,0.178269430736416,0.956436156360424
"Público Municipal",2017,0.661341137956225,0.623324294726494,0.627089795034946,0.970752728083031
"Direta",2018,0.725983787747808,0.675262157202519,0.563082636614669,0.850693314088269
"Filantrópico",2018,0.643774943507952,0.614835239226129,0.572752318356231,0.924537413788937
"OSS",2018,0.810777450963548,0.754472815146345,0.660604129246969,0.876408771976817
"Privado",2018,0.276047807333962,0.248518815534318,0.213714664878675,0.986895796126276
"Público Municipal",2018,0.668483273986822,0.628882813455953,0.622297712294407,0.959343335255931
"Direta",2019,0.727549472478019,0.673115248847759,0.576673801994991,0.808546118982512
"Filantrópico",2019,0.645942250044761,0.604670795428525,0.5739297665484,0.919534604137725
"OSS",2019,0.798477303526565,0.734458425082068,0.651362902454949,0.867755910596791
"Privado",2019,0.395192621812166,0.36544839207565,0.26933149567875,0.784872109863663
"Público Municipal",2019,0.65086500206811,0.612239603048101,0.600223054004061,0.950328451749285
"Direta",2020,0.678527928601401,0.618129898849467,0.508449385344958,0.817184529480071
"Filantrópico",2020,0.648691596194885,0.603573594126605,0.564236323410794,0.893447588074809
"OSS",2020,0.800384263531202,0.737009653055629,0.689575691389667,0.855638664007407
"Privado",2020,0.374427883623191,0.33647521291683,0.335947939150607,0.897230024376846
"Público Municipal",2020,0.715792402001683,0.659715394438305,0.659858722062161,0.901285479397256
"Direta",2021,0.658695651913168,0.603915065581984,0.452419515881408,0.777294627936659
"Filantrópico",2021,0.576821999306531,0.536050449651739,0.476840720408668,0.910862474848263
"OSS",2021,0.696107058952341,0.644589164888331,0.522070265371821,0.741113618539081
"Privado",2021,0.382651661539346,0.333821386184471,0.381837037634529,0.986726440929829
"Público Municipal",2021,0.658628725763308,0.617767788593735,0.547823953407121,0.850210610643336
"Direta",2022,0.647069599954914,0.575845504528172,0.504118324075102,0.846982528258917
"Filantrópico",2022,0.626634200302407,0.582160009645834,0.526954809750333,0.912029013439401
"OSS",2022,0.762683602757788,0.715273200663298,0.591598666194352,0.82492797492569
"Privado",2022,0.555589198443665,0.506113111800798,0.543714791367634,0.978627361530257
"Público Municipal",2022,0.661452469082143,0.614111642986661,0.576937745562188,0.887153416721564
"Direta",2023,0.663919650248579,0.616210069149783,0.558581739453948,0.906115547149735
"Filantrópico",2023,0.646115254161084,0.604600860660497,0.557563207508503,0.959762897435808
"OSS",2023,0.797327295300318,0.743036795161172,0.652420953971036,0.854828942012942
"Privado",2023,0.395027542001995,0.360387002258202,0.379703694135871,0.961208153263283
"Público Municipal",2023,0.714896815254303,0.66897668248212,0.631751707266731,0.945470963900261
"Direta",2024,0.573407675433522,0.554970929285011,0.494591694777371,0.877238942969016
"Filantrópico",2024,0.599744869118867,0.556610141028261,0.542188526217206,0.961297458768079
"OSS",2024,0.750140112031663,0.685107178204863,0.627367646203945,0.888524953255056
"Privado",2024,0.326788003654354,0.2901387909067,0.258537443256617,0.98488040062523
"Público Municipal",2024,0.662190147894312,0.623536990653659,0.635334418334172,0.954949960282306
"Direta",2025,0.601956431285329,0.562386435475145,0.47505447453299,0.866409875472587
"Filantrópico",2025,0.622127066371832,0.585626540308998,0.564703046819056,0.940433677943299
"OSS",2025,0.772094119026089,0.725990113114157,0.650134574613876,0.87855252872145
"Privado",2025,0.237742962726802,0.213700134926821,0.222023944648076,0.997807079742737
"Público Municipal",2025,0.674371748827182,0.630355365120222,0.61864950192654,0.915803650411924
