"termo","coef","ep","z","p"
"(Intercept)",8.81740617545305,0.0175306273611483,502.971513443628,0
"lc",0.421081961740686,0.0191915079397509,21.9410565893318,1.05424008778721e-106
"uc",-0.0865728813159344,0.0112608075241677,-7.68798162388739,1.49474271773554e-14
"vc",0.467060056475945,0.0101881560690294,45.8434336214913,0
"lc2",-0.0895972429679477,0.057244857972665,-1.56515792231909,0.117545884959128
"uc2",-0.0724304111813606,0.0158232886600809,-4.57745622527185,4.70664239019882e-06
"vc2",-0.25158557376236,0.00947500088920153,-26.5525646598183,2.3989073114809e-155
"lu",0.0192396351885928,0.0238713528476115,0.805971714775178,0.420259158500041
"lv",0.115902284246298,0.0233336556131468,4.96717214687077,6.79362774204488e-07
"uv",0.0711512390707194,0.00978096560591358,7.27445959197539,3.47809964061351e-13
"ano_f2016",0.020054459840346,0.0214419748014828,0.935289777458333,0.349638982076142
"ano_f2017",0.0319846189492577,0.0213856844827471,1.49560884876335,0.134755615881325
"ano_f2018",0.0548590339000064,0.0216913877280414,2.52906981276664,0.0114365276363322
"ano_f2019",0.0812330835186095,0.022023584624509,3.68845875472102,0.000225616590033148
"ano_f2020",-0.07297303555761,0.0222784310979068,-3.27550154842215,0.00105474536158415
"ano_f2021",-0.134694480124035,0.0228732567426184,-5.88873205244389,3.89169818696351e-09
"ano_f2022",0.060633796007624,0.0229081507666897,2.64682193797111,0.00812521238604606
"ano_f2023",0.0900110294399524,0.0229025826627877,3.9301693946597,8.48860372533812e-05
"ano_f2024",0.124669476372443,0.0231696400172984,5.38072565129906,7.41861820597705e-08
"ano_f2025",0.13155397482615,0.0229858761997714,5.72325256095562,1.04503730363024e-08
"Z_(Intercept)",-4.02142606905025,0.67435196005691,-5.96339346105093,2.47052557341437e-09
"Z_d_oss",-1297.56087934044,905.588940749349,-1.43283649010416,0.15190457052205
"Z_d_municipal",-5.45446112618422,1.02046980423601,-5.34504901913076,9.03925875644121e-08
"Z_d_filantropico",-0.243761692063744,0.162732014865723,-1.49793322638377,0.134150599974987
"Z_d_privado",2.47355761711118,0.39595774970393,6.24702413063197,4.18346450205137e-10
"Z_cplx_z",-2.15930656270775,0.32526627721204,-6.63858110719576,3.1671705736942e-11
"Z_d_grande",2.4695573974998,0.333311192715807,7.40916432291978,1.27097744912047e-13
"Z_d_especial",7.40138849655009,0.917169247855368,8.06981755423754,7.04032921152794e-16
"Z_tendencia",-0.0098636995088009,0.0229810146766953,-0.429210791932678,0.667769829969223
"sigmaSq",0.8863704256296,0.118906342203441,7.4543578517711,9.03065810104522e-14
"gamma",0.954821438030857,0.00586733623023989,162.735081229837,0
